Freq (Hz),Vpp Out,Vpp In,Vpp Out,Vpp In,Y intercept,Ymax,Quadrant,,Freq (rad/sec),Magnitude,Magnitude,Phase 1 (CW),Phase 2 (CCW),,Suitable,Phase
40,0.736,0.904,0.7,0.592,0.8,1.8,"2,4 CW",,251.3274123,-1.785812323,1.455526666,153.6122,243.6122,,153.6122,-26.38779996
50,1.16,0.92,1.22,0.616,0.8,2,"2,4",,314.1592654,2.013403238,5.93558237,156.4218215,246.4218215,,156.4218215,-23.57817848
60,3.2,0.94,1.84,0.584,,,"2,4 LINE",,376.9911184,10.64044249,9.968099518,180,0,,180,0
70,2.64,0.664,2.68,0.584,0.2,1.2,"2,4",,439.8229715,11.98871695,13.23443894,170.4059318,260.4059318,,170.4059318,-9.594068227
80,3.72,0.728,3.56,0.616,0.6,1.8,"2,4",,502.6548246,14.16823121,15.23738572,160.5287794,250.5287794,,160.5287794,-19.47122063
90,4.92,0.768,4.92,0.624,1.4,2.4,"2,4 CW",,565.4866776,16.13207765,17.93561026,144.3146653,234.3146653,,144.3146653,-35.68533471
100,6,0.904,5.76,0.664,2.2,3,"2,4",,628.3185307,16.4396564,18.76508808,132.8334281,222.8334281,,132.8334281,-47.16657193
120,13.8,1.12,7.76,0.68,1.4,1.4,CIRCLE,,753.9822369,21.81322127,21.14705617,90,270,,90,-90
140,13.8,1.14,8.8,0.616,1.2,1.4,"1,3",,879.645943,21.6594847,23.0980392,58.99728087,301.0027191,,58.99728087,-121.0027191
200,5.6,0.94,7,0.584,0.4,1.4,"1,3",,1256.637061,15.50120347,21.57370386,16.6015496,343.3984504,,16.6015496,-163.3984504
280,5.2,0.784,6.16,0.576,,,"1,3 LINE",,1759.291886,16.43374562,20.58316457,180,0,,0,-180
450,4.88,0.744,5.52,0.576,0.2,1.2,"1,3",,2827.433388,16.33693773,19.63033189,9.594068227,350.4059318,,-9.594068227,-189.5940682
600,5.44,0.88,6.56,0.568,0.6,1.4,"1,3",,3769.911184,15.82232455,21.25111007,25.37693353,334.6230665,,-25.37693353,-205.3769335
700,5.82,0.82,6.96,0.568,0.8,1.2,"1,3",,4398.229715,17.02218265,21.76521808,41.8103149,318.1896851,,-41.8103149,-221.8103149
800,3.84,0.94,5.2,0.576,0.8,1,"1,3",,5026.548246,12.22406742,19.1116172,53.13010235,306.8698976,,-53.13010235,-233.1301024
900,3.44,0.92,3.76,0.552,1.4,1.8,"1,3",,5654.866776,11.4554123,16.66497534,51.05755873,308.9424413,,-51.05755873,-231.0575587
1000,4.48,0.9,5.28,0.552,0.8,1.2,"1,3",,6283.185307,13.94071009,19.6138969,41.8103149,318.1896851,,-41.8103149,-221.8103149
